text,sentiment
  ali after the fox news gopdebate we primary voters are none the wiser on the policy plans these folks are putting fo h journalism ,Negative
  mgell trump is a cross between the shrug emoji and president business from the lego movie gopdebate,Negative
  jamellemybelle meanwhile in the white house  gopdebate httptconouuut5hkq,Negative
  brownblaze please   kkkorgop gopdebate httptcoyaqyac3uv3,Negative
trump thinks criticism of his misogynistic remarks is a political correctness problem nope its a pervasive sexism problem gopdebate,Negative
"  lekarmasucre how the gopdebate handled blacklivesmatter 

httptco8zgdy6lpct",Negative
danscavino gopdebate w realdonaldtrump delivered the highest ratings in the history of presidential debates trump2016 fox say thanks,Positive
  gov mosttweeted govmikehuckabee gopdebate moment saying purpose of military to kill peoplebreak things re trans servicemembers,Negative
  megynkelly chrisstirewalt big moments were randpaul vs chrischristie and realdonaldtrump reaction to women question kellyfil,Positive
  stylemom heres a question why in the hell are women amp our body pa s even in this debate foh stop it its not 1965 wtf gopdebate,Negative
rushlimbaugh americans getting beheaded overseas and megynkelly is worried whether realdonaldtrump calls rosie odonnell fat gopdebate,Negative
  chucknellis i wont defend foxnews they were far from fair or balanced last night but name calling is juvenile gopdebate,Negative
  theskysgoneout to nonchristians gopdebate god questions underline how little anyone really cares about religious minorities chri,Negative
  bipa isanism the gopdebate response to blacklivesmatter was pathetic httptcoismxbrrm0h,Negative
  factcheckdotorg jebbush said he cut fl taxes by 19b but that includes cuts in estate taxes mandated by federal law gopdebate ht,Negative
"  mydaughtersarmy dear gop
if you want to stop abo ions 

gopdebate 
httptcorbl1t4ipx6",Negative
"  karrattipaul join isis and sign your death warrant
signed tedcruz next president of the us

gopdebate wakeupamerica cruzcrew htt",Positive
  p0tus gopdebate closing statements httptcos15nlillso,Negative
"  amymek status  single 

i broke up with foxnews last night   goodbye megynkelly bretbaier amp chris wallace

gopdebate httpt",Negative
"  frankluntz before the gopdebate 14 focus groupers said they had favorable view of trump

after only 3 saw him positively  http",Positive
"  _holly_renee just made my first donation to carlyfiorina
so impressed by her gopdebate performance
fiorina httptcojlfhfvz7st",Positive
  thejimhughes if we want to stop sending foreign aid to places that burn our flag can we sta  with berkeley gopdebate,Negative
"  mspackyetti donald trumps campaign reveals 1 impo ant thing twitter trolls are real people

and they vote 

that should scare eve",Positive
  bipa isanism those saying dont worry trump will never be elected need to remember we elected george bush twice gopdebate http,Negative
fox news had its own gopdebate agenda promote carly never mention fired from hp fiorina amp run trump out of race httptco9k1eujdfo7,Negative
  hlllary oh one more thing did anyone hear anything about affordable child care for working families last night in the gopdebate  i,Negative
  naughtybeyotch   allenwestrepub dear jebbush gopdebate notamistake httptcowqnsupspkc,Negative
ma hamaccallum billhemmer gopdebate bill and ma ha were the a team in the first debate 2nd debate was an ambush,Positive
the countrys going to hell and megyn kelly on foxnews is attacking trump for a war on women gopdebate,Negative
  franklin_graham 1st gopdebateencouraging to see several candidates express their faith in god and his son jesus christ httptc,Positive
  snarkydemo donaldtrump said hes not politically correct  which of course is trumpspeak for lets face it im huge asshole ,Negative
  bipa isanism a message to the gopdebate candidates httptcowfk5cmvgin,Negative
  davidcicilline this is the worst episode of the apprentice that ive ever seen gopdebate,Negative
  lolhayley the purpose of the military is to kill people and break things  something an actual man running for president just said ,Negative
wondering if i could get the republican pa y to pay for my liver transplant after playing mtaibbi gopdebate drinking game last night,Negative
  brandondhowell great way to sta  friday carlyfiorina carlyfiorina gopdebate httptco1ai9cuz8by,Positive
  tedcruz if elected on my first day as president ill rescind every illegal and unconstitutional executive order enacted by pres oba,Positive
"theyre all todd akin now how the planned parenthood sting backfired on republicans gopdebate standwithpp 
httptcoekxpfkthqn",Negative
  learjetter hey foxnews let republicans digest gopdebate before allowing crazy dwstweets to trash our gop ladysandersfarm http,Negative
  thebaxterbean watch donald trump receive enormous applause for horribly misogynistic gopdebate answer httptcor4e8tpotd5 httpt,Negative
even though shes a super conservative repo er i actually like megyn kellys interview style amp she did great at the gopdebate,Positive
  kingsthings the gopdebate is not a debate at all its a series of 1 minute oppo unities to avoid answering a question one candidate,Negative
  melissagracey credit for this joke goes to someone else but it is funny gopdebate httptcoicredssplr,Positive
  reince simply incredible httptcoapxm8ao8jf last nights gopdebate doubled the previous record for mostwatched primary debate i,Positive
  katethomas this literally couldnt be more true for me i watched the gopdebate amp all i got was a lousy hangover httptcocxch7x,Negative
  fl_dreamer haha a little saas from voxdotcom this morning towards realdonaldtrump factchecked gopdebate httptcodaectmllaj,Negative
  zellieimani what people saw in person vs what we saw on tv gopdebate httptcoqlgsxrh5hw,Negative
  thebaxterbean marco rubio told to his face hes candidate of yesterday for his antigay bigotry httptcoa4eiuettlf gopdebate ht,Negative
  cariisie none of them have made trump look out of place or foolish yet think about that when youre done crying think about it agai,Negative
had a great time watching the gopdebate last night httptcoqcmxmu8mlp,Positive
  jrehling gopdebate donald trump says that he doesnt have time for political correctness how does calling women fat pigs save him ,Negative
  theonlyadult this is the potus we have now one of the people on tv now might be the next one rip everything gopdebate httptco,Negative
  kirahoffy foxnews web stream and mobile app fail during gopdebate  why am i not surprised httptcotkpesooezt,Negative
  johnkasich john kasich helped ohioans create 350000 new jobs he can do it for america gopdebate httptcokbzfbjyp2c,Positive
please help the maryknoll sisters replace windows in their convent httpstcofdgxg3vv13 catholic gofundme trcot gopdebate,Positive
trump just said jebbush is a true gentleman amp then they sta ed violently 69ing gopdebate,Negative
  cameronesposito ugh will these guys ever shut up about how much they respect women gopdebate,Negative
  snarkydemo what did the gopdebate teach us about a future president trump  america probably wont be safe except if were attacked ,Negative
"  congoboy this is going to be a long tiring election season 
shockingly illinformed candidates at gopdebate
httptcovtk1k0txi",Negative
  mattyiceaz scott walker cant even carry his own state gopdebate,Negative
  xlnb black people if you need anymore indication why republicans hate us peep this gopdebate httptcobh0chsy5eh,Negative
  smethanie sure god told me i should run and the tooth fairy agreed and all the teletubbies voted yes so here i am gopdebate,Negative
  palmaceiahome1 trump should have told megyn kelly to go to hell foxnews gopdebate,Negative
  palmaceiahome1 caller on the rush limbaugh showi have lost all respect for fox news foxnews gopdebate,Negative
  realdonaldtrump stinger_inc realdonaldtrump  megynkellys behaviour at the gopdebate was astonishingly biased,Negative
republicans debate economics rubio wins bush falters huckabee exaggerates httptcomolloaqhwq gopdebate knowmorenotless gpnaplang,Positive
  jamesviser huh half of clintons charity went tothe clintons httptcobvwrosgwal copolitics hillary2016 stophillary uniteb,Negative
  kraig4u gopdebate  the order was to take out trump but i wonder if fox news was the one who took the order seriously heidil_rn,Negative
  amymek we all owe realdonaldtrump a huge thank you 4 exposing to the worldmegynkelly chris wallace amp frankluntz are true rhinos,Negative
  thebaxterbean scott walker lies says wi budget has 535m surplus actually has 176b deficit httptcovvmxzkxlkr gopdebate http,Negative
youre right last i heard sensanders was that only women could give bi h to s child has that changed gopdebate  httpstco5hkcefp1hf,Positive
  frankconniff fox news gopdebate interviewer to candidates whats your take on these gop talking points im feeding you,Negative
  lesliemac but the murder of black ppl is just fine just not unborn black babies goplogic gopdebate,Negative
  charlottelaws chris christie is really standing out at the gopdebate,Positive
  libe yjibbet hey realdonaldtrump you know who didnt whine about unfair questions carlyfiorina grow a set why dont ya gopde,Positive
"you cant be prolife and have watched that 2 hour abo ion last night
gopdebate forkedtongue iseeorangepeople",Negative
"  danscavino megynkelly
you failed the american people tonight 
you tried to make history by destroying realdonaldtrump kellyfai",Negative
  edstetzer btw when you mix politics and religion you get politics gopdebate,Negative
  teammarco marco nailed it on abo ion we must protect life gopdebate httptconn6s7do22j,Positive
megynkelly bretbaier foxnews wtf was up with chris wallace attacking trump2016 on bankruptcy then giving rubio a softball gopdebate,Negative
they obviously didnt get the memo about seersucke hursday gopdebate httptcolzagr zfl,Negative
  vh1 honestly donald trump you were all types of petty at last nights gopdebate  gt httptcoqxdoemfuqo httptcomcr6lrjh2h,Negative
  tuxcedocat all republican dopefuls who say theyll take us back to 2009 on day one will never see one day in white house gopdebate,Negative
trump gloating abt buying gopdem pols ampthem doing his bidding is my 2000s billionaire caricature myacash gopdebate httpstco5spmu3csic,Negative
"  peddoc63 go carly
go carly
go carly
carlyfiorina carly2016 gopdebate
flyoverculture leahr77 steph93065 maydnusa httptco",Positive
  daenerys listening to the gopdebate like httptco3jrcuqdafu,Negative
  scorpionspriest best moment of the gopdebate last night rand telling christie to go get another hug from obama,Positive
  johnfugelsang if you missed either gopdebate all you need to know is theres no  for struggling americans and unlimited  for war,Negative
  pfikac jebbush we are on the verge of the greatest time to be alive in this world but washington is holding us back mysa txlege ,Negative
"  drma yfox trump wins drudge 
debate poll 

 by a landslide 

tedcruz 2 

gopdebate pjnet  
 httptcoyuh6j7qqha http",Negative
  siteroi governorperry fights back against what will you do abt immigration q says border is porous and that must be fixed first ,Positive
summary is the gopdebate status quo shit show,Negative
  thepatriot143 debbie blocks tweeter who questioned dem debate schedule  httptcogxna0toqaq gopdebate dwstweets httptcokxikf,Negative
  sallykohn hey look its 10 men standing on a stage arguing why they should get to control womens bodies and choices gopdebate,Negative
  chrisjzullo last night at the gopdebate all i saw was a bunch of rich and old despots with zero solutions to our nations problems un,Negative
  rfhkerry if you think any of these people are qualifiedunfollow me  gopdebate,Negative
whos the real illegal alien gopdebate  farrakhan on immigration  the mexican bor httpstcolklffn2lfy via youtube,Negative
gopdebate the talking heads put on the debate now the talking heads are telling us how the debates went maybe we wasted our time watching,Negative
trump is right about megynkelly but really needs to study matthew 7 verses 35 gopdebate  httpstcoygnprhiehv,Positive
  maureenjohnson where do you think women should sleep when they have the curse the shed or in an open field not on your prope y ,Negative
"i think gods a pretty fair guy ben carson neurosurgeon on his belief modern day taxation should be based on an ancient book
gopdebate",Negative
  nancyleegrahn the cheers from gopdebate  audience afte rump defiantly named rosie as the woman he called fat pig were the voices ,Negative
blacklives dont matter apparently to republican candidates for president  httptco8rfevfwsxx  or to foxnews uniteblue gopdebate,Negative
overall the main thing we learned from the gopdebate is that only straight white men matter,Negative
usfree4life i thought seanhannity had the best post gopdebate interviews of the night gave them all a chance 2straighten their position,Positive
"  johnkasich hey realdonaldtrump if youre still looking to chip in check out httptcody8knz122t

gopdebate",Negative
megynkelly bretbaier chriswallace america is criticizing ur performances during gopdebate bc u did a really bad job as moderators,Negative
govmikehuckabee luntz as the lines go up they almost reach 100 it almost never happens in the dial research we do gopdebate rigged,Negative
  oftenimprudent i wish we could teach teenage girls to love themselves as much as donald trump loves himself gopdebate,Negative
"  amymek conservatives are a people without a network 

gopdebate foxnews",Negative
  bhowl_ how come theres no talk about climate change has anyone here even seen california right now gopdebate debatewithbernie,Negative
  chrisjzullo last night they could have have raised their hands im a spoiled billionaire im an oligarch im a racist im a religi,Negative
gopdebate 2016 teamdrbencarson realbencarson  wow brilliant cool calm amp collectedempowering,Positive
  benjamminwalker under no circumstances should 10 men dictate abo ion rights to women its the 21st century we are better than that,Negative
"  danscavino gopdebate winner
drudge 50 187k realdonaldtrump 
time 46 25k realdonaldtrump 
foxsd 49 realdonaldtrump httpt",Positive
  joeprich megynkelly  in 2012 you chided candycrowley for going from objective moderator to active pa icipant gopdebate httpt,Negative
gopdebate foxnews realdonaldtrump  in1996 you called billclinton a two timing slut  do you stand by that statement,Negative
"  renomarky  never watch kellyfile again

1 gopdebate questions 
2 pandering to dwstweets 
3 making it about ratings not http",Negative
"imho gopdebate 
winners marcorubio kasich donaldtrump 
losers scottwalker randpaul bencarson 
all others were completely forgettable",Positive
  johnkasich smaller govt ohio government payroll is smaller than its been in 3 decades httptcoigfif4j1tt gopdebate httptco,Positive
  jebbush challenging the teachers unions and beating them is the way to go  jeb httptco5imgwdrl4g gopdebate,Negative
theblaze the real war on womenrealdonaldtrump megynkelly rushlimbaugh gopdebate anncoulter,Negative
  allthingsflynn this trump vs fox news conflict is quite the conundrum its like the personification of greed vs hate who do i root,Negative
  carlyfiorina i know how extraordinary this nation is gopdebate,Positive
  laxnoreos meanwhile in the white house  gopdebate httptcomfs7ixfovc,Negative
rubio still my preference but i can see point of his critics over oppo unism inconsistency gopdebate,Positive
did realdonaldtrump ever tell megynkelly to go wait in the car her bad attitude suggests it waronwomen gopdebate,Positive
  thetexasphoenix he was on fire governorperrys on fire debate performance httpstco0a1w02w7sz gopdebate perry2016,Positive
  realdonaldtrump frankluntz im getting a lot of megynkelly hatemail tonight  gopdebate she is totally overrated and angry she,Negative
this literally couldnt be more true for me i watched the gopdebate amp all i got was a lousy hangover httptcocxch7xxq1v robinma y,Negative
jonvoyage was half as long as the gopdebate  but twice as intelligible,Negative
  lisabloom not a single question in last nights gopdebate about the most urgent issue of our time climate change,Negative
gopdebate what was up with foxnews amp their gotcha questions they seemed designed to elicit typical political spin responses tlot,Negative
after the gopdebate all of the promises being made by sta ups at this tech conference seem quite reasonable,Positive
  roy___rogers knuckldraginsam gop realdonaldtrump yobynnad1127 amen trump2016 wakeupamerica gopdebate tcot stoprush httpt,Negative
"  zzcrane me watching the donald trump bandwagon pass 
tlot tcot gopdebate httptcowvqlsxgmcl",Negative
  deray before the gopdebate began didnt the moderators say that 8 million ppl were discussing racial issues what happened to thos,Negative
  feministabulous theres nothing like listening to ten dudes who will never need an abo ion talk about whether i should have a right ,Negative
  senwhitehouse fox silenced by koch billions too not a single question at last nights gopdebate to climatechange deniers about mond,Negative
  tyriquex these republicans are rich they dont care about the pove y of america amp they definitely dont care bout the pove y of bla,Negative
catching up on my gopdebate lindseygrahamsc what a childish amp cheap move to call out billclinton amp hillaryclinton on a 17 year old story,Negative
  kesgardner all ted cruz does is attack other republicans gopdebate,Negative
  governorperry icymi not just no but hell no to the irandeal gopdebate perry2016 tcot httpstcokqhjdjcgws,Negative
  larhunter if donald trump wins the election then well know were on the biffstolethealmanac timeline gopdebate,Negative
  cenkuygur chris christie just said you have to work two more years before retiringand that youll get tens of thousands less you paid,Negative
"  johnkasich john kasich is ready to lead join the team claire httptcody8knz122t 

gopdebate httpstcoknwmideqty",Positive
  edwrather the biggest losers in the debate were the fox moderators who attacked instead of moderating gopdebate,Negative
  whitneyneal trump has yet to give a single evidencebased answer to a direct question about policy that should frighten you gopdeb,Negative
  blkfeminst i honestly think sometimes these guys forgot they came from wombs too kkkorgop gopdebate  httpstcofo3a6dxflf,Negative
"  grneyedmandy women who shame other women for having abo ions deserve to be shamed for having no soul or self respect 

plannedparen",Negative
  icaruspundit donald trumps closing statement is every dinner conversation had at the villages ever gopdebate,Negative
"  thexclass when the rich wage war its the poor who die jeanpaul sa re 
this is now gop foreign policy 
gopdebate",Negative
"at the gopdebate we saw the candidates completely miss the mark on race amp blacklivesmatter
httptcok9nhdpue32 httptcohlcqpxjzru",Negative
  seabassthephish so to the gop for being proud of defeating teachers union even though they just wanted higher wages gopdebate,Negative
chucknellis foxnews you got that right gopdebate,Negative
  mrskimcam trump just said the us is stupid so lets vote him president wtf people gopdebate,Negative
so excited for johnkasich gopdebate kasich4us republicandebate kasich2016 been waiting for 20 years,Positive
hey look its my feelings about donald trump summed up in one gif gopdebate httptcozjwugwj9hz,Negative
  thebaxterbean marco rubio briefly backed immigration reform then privately berated dreamers httptcowe77qdt3kt gopdebate httpt,Negative
  damienfahey i frenchkissed jesus christ  every candidate gopdebate,Negative
gopdebate closingstatements govmikehuckabee just be honest u were defs talking about realdonaldtrump coz hes stealing ur schtick,Negative
when cnn msnbc and the new york times praise fox moderators then you know the moderators fucked up gopdebate,Negative
  kesgardner trump is a lunatic gopdebate,Negative
cruz has class amp truth that gets my vote gopdebate,Positive
  kesgardner assclown im the only reason anyone is even talking about illegal immigration keep digging donald gopdebate,Negative
  berniesanders tom hanks finally somebody who makes some sense gopdebate debatewithbernie,Positive
  southernhomo olivia pope would not vote for any of these guys gopdebate,Negative
all gop candidates want to reduce taxes while huckabee wants to legalize prostitution and drugs so we can tax it gopdebate,Negative
  kesgardner hi fox panel can you just ask donald every single question hand him a shovel while youre at it so he can keep digging ,Negative
gopdebate trump is breaking records so what hes not a polished politician makes me love him even more  httpstcotgowchxf3x,Positive
  berniesanders oh it was just a movie trailer gopdebate debatewithbernie,Negative
  tacticaldissent so sally kohn amp debbie wasserman schultz both  praising megyn kelly tonight that should tell you everything you need ,Negative
why are all the trump accessory women wearing the same shoes  gopdebate httptcoxz4zc1lt8n,Negative
and donald trump is an absolute nut so ente aining lol gopdebate,Negative
"thehill top gop pundits pick their gopdebate winners httptcoqpvju6p7sz httptcojcdu5qzjnj
winnersfox news
losersusa",Negative
  dykstradame candidates went after hillaryclinton 32 times in the gopdebatebut remained silent about the issues that affect us http,Negative
  danscavino megynkelly trying 2show up realdonaldtrump w foxnews trying 2take him down trying 2destroy him not happening kelly,Negative
  gov mosttweeted gopdebate moment for realbencarson saying he wouldnt publicize to the world his answer on waterboarding,Negative
i give him a e for his big ego gopdebate as are earned for excellence rhymes with rump,Negative
passion of the gopdebate religiousupamovie,Positive
  nro marcorubio got the best reviews and deserved them read more of our nreditorial recap of the gopdebate gt httptcostzw,Positive
  kesgardner brutal question to the assclown from megan kelly the lesson here be careful what you tweet on twitter gopdebate,Positive
trump changed his mind on suppo ing pa ial bi h abo ion because a friend changed their mind on abo ing amp had a great kid gopdebate,Negative
best closing statement realbencarson gopdebate,Positive
"  chrischristie we have to stop worrying about being loved amp sta  worrying about being respected tellingitlikeitis gopdebate
https",Positive
  lesleyabravanel trump sycophants want to know what megynkellys hidden agenda was last night answer is simple its called a vagin,Negative
donald trump is a really nasty piece of work hope he disappears quickly gopdebate,Negative
  amaraconda fetuses are not unborn babies they are clusters of cells stop shaming people who wanthave had abo ions gopdebate,Negative
  mattkbh these were far and away the best tweets of last night debatewithbernie gopdebate httptcogzdltyumnn,Positive
  pattonoswalt despite what huckabee says i always make sure my prostitute and her pimp pay fica and pension gopdebate,Negative
foxnews did great by challenging the candidates in gopdebate if these candidates cant handle a tough question they could never b potus,Positive
  k_mcq id say it was the opposite megan kelly acted like some sjw on tumblr whining about feminism very sad gopdebate  httpstc,Negative
  conssista rightly so frank rightly so gopdebate  httpstco32cfasi17d,Positive
the number of times that ronald reagan is mentioned in the gopdebate is too damn high,Negative
  pattonoswalt if trump is against pc culture im suddenly 100 for it not even kidding what a howling shitcave of a human gop,Negative
  carljacksonshow bencarson great close he operates on brains so he doesnt worry about skin color gopdebate,Positive
"  davante_r women that would be offended by trumps misogyny most ce ainly dont vote republican

find a new fake issue faux news

",Negative
  auntcol54 keep religion out of politics gopdebate,Negative
  wilw boy i bet the mood in the clown car is going to be tense when these jerks leave the gopdebate,Negative
  campeauelliot dr ben carson did a great job tonight loved your closing statement realbencarson gopdebate,Positive
foxnewspolitics behind the fox debate how the anchors hashed out the questions gopdebate they failed,Negative
did anyone get trashed playing rollingstones gopdebate drinking game   drinkinggame,Negative
"if donaldtrump donates to uhe can call in a favor years later sounds like thegodfather
not potus thats legal
gopdebate gopclowncar",Negative
  jediane9 ugh to think there were actually people sitting on their couch last night saying yes yes this is reasonable gopdebate,Negative
  kesgardner if politics can be even pa ially rational trumps campaign for the gop nomination just ended gopdebate,Negative
  chrisjzullo scott walker chooses killing mother rather than abo ing unborn embryo this is reason other countries give us that funny ,Negative
cant uniteblue abo ion is a talking point in the gopdebate since ppsellsbabypa s,Negative
  k_mcq closing statements reminisce about an america that no longer exists after ted kennedys 1965 immigration and nationality act g,Negative
  maureenjohnson ted cruz is going to personally take away your telescope and try you as a witch gopdebate,Negative
realdonaldtrump you killed it last night at the gopdebate glad to have some that cares for america  makeamericagreatagain,Positive
  youngblkrepub when the gopdebate is more exciting than anything else on tv in the past 10 years,Positive
  abbijacobson shiiiittt its tough to say who is making me more horny gopdebate,Positive
bullriders1 olivianuzzi daveweigel the gopdebate was better than i thought itd be though candidates finessed issues with sound bytes,Positive
  thebaxterbean yes marco rubio actually said the iraq invasion was not a mistake httptcoxrowkhymm1 gopdebate httptcovjmjdm,Negative
  thebaxterbean marco rubio voted against unemployment benefits even though florida needs them most httptco2i6uolsctj gopdebate ht,Negative
jebbush was so thoughtful in gopdebate  rethink911 httptcok37hnbe2jy,Positive
  thejimhughes there will be a lot of jobs available if bush serves 2 terms because most conservatives will have committed suicide go,Negative
huh watching foxnews debate 1 and so far the moderators and the pa icipants are better gopdebate,Positive
  3chicspolitico donald trump insulted megynkelly and all women and not one man on stage confronted him none of them are wo hy to be ,Negative
  jjauthor learjetter i was waiting for megynkelly to ask realdonaldtrump when did you stop beating your wife gopdebate http,Negative
  andreatantaros about last night are you watching outnumberedfnc  we got ericbolling and all the good stuff from the gopdebate on ,Negative
"  renomarky ea h to megynkelly this aint about you 

gopdebate 
foxdebate 
megynkelly 
megynkellydebatequestions httptcoyxhy",Negative
"fff highlights from this week include nationalunderwearday the gopdebate and jonvoyage officially the worst week ever
tgif",Negative
  kesgardner of course the assclown wont pledge not to run as a third pa y candidate gopdebate,Negative
paul krugman sums up what happended last night one of our two major pa ies has gone off the deep end httptcogkubem7ge7 gopdebate,Negative
  eqphoto just remember no matter wins the gopdebate everyone who watched it loses alcoholpoisoning,Negative
  anthonymarlowe trump video it cost 4 times more than the 700m it wouldve if it were being managed by realdonaldtrump gopdebate h,Negative
megynkelly you disgraced yourself last night gopdebate,Negative
  proginosko prediction in the final gopdebate donald trump will tear off his missionimpossible mask to reveal a smirking jon stewa ,Negative
fallon to jon stewa  please come back i cant do it alone httpstcoiua0hy2uc6 gopdebate politics,Positive
  kesgardner ted cruz is angling himself to be a slightly less loony version of donald trump gopdebate,Negative
meet the new darling of the left  megyn gotcha kelly gopdebate foxnews donaldtrump megynkelly,Negative
  toddstarnes that abo ion question  disgusting gopdebate,Negative
"nytimes and cnn praised foxnews and they thought they did a good job gopdebate 
not a good thing",Negative
"gopdebate a lesson for coming months quality and not quantity in words amp time for tangible and believable propsals
httptcoyhvnoeinyi",Negative
when cnn and the new york times are praising the foxnews moderators you know they did it completely wrong gopdebate,Negative
megynkelly displayed utmost authority at foxnews gopdebate critic says httptco8jbvwjtj3t httptcomel8jxm19b,Positive
  tusk81 not one candidate spoke up against trumps massdepo ation plan amp not one condemned his racist comments latinos wont forget,Negative
"donald is my hero 
 gopdebate httptco9zzflchjqo",Positive
  gerryduggan the kryptonian science council was more worried about climate change than these scary people gopdebate,Negative
withholding my very valuable presidential endorsement until i hear about everyones point of view on the 2nd amendment gopdebate,Negative
  mikedrucker ronald reagan never had an abo ion with isis and women dont need them either  basically everyone tonight gopdebate,Negative
chrischristie won the gopdebate last night only candidate who answered questions directly and not afraid to take on tough issues,Positive
  govmikehuckabee fredbarnes weeklystandard mike huckabee was the star of the luntz focus group show when he spoke the feedback ,Positive
watching the primetime gopdebate this afternoon i think bencarson2016 was the real winner quiet but effective,Positive
  jackie_pepper jeb is giving me some serious janet reno tonight gopdebate httptcovxfy7ms1wg,Negative
boomers r sma  they know how to use internet for gopdebate httptcoigp8wwnzcu     cosproject jpnet httptcomt79hetqxs,Negative
  govmikehuckabee re china you deal with a playground bully by punching them in the face amp putting them on the ground bc they only res,Negative
  ali lots of republicans in my facebook and twitter timelines are ticked at fox news for running that hatchet job of a debate gopdeba,Negative
i wont defend foxnews they were far from fair or balanced last night but name calling is juvenile gopdebate,Negative
  catholiclisa hats off to ben carson for using the term useful idiots re hillary clinton and the secular progressive movement gopd,Positive
megynkelly your fox team talked for 31 minutes of gopdebate while walker talked for 5 your obvious goal was to ambush everyone pathetic,Negative
  johnamato i actually agree with andreatantaros on something she said realdonaldtrump didnt hu  himself in gopdebate and i concur,Positive
  donniewahlberg like ben carsons brain mike huckabees hea  marco rubios soul chris christies fight john kasichs hope add carly fi,Positive
  dykstradame the gopdebate was like a super crappy cage fight of blustering bumbling old wrinkledup tuckus clinchers without the ca,Negative
  govmikehuckabee the military is not a social experiment the purpose of the military is to kill people and break things imwithhuck ,Negative
megynkelly gopdebate kelly is no role model doesnt speak for me or my prof friends rosie now a real woman carlyfiorina kelly is a poser,Negative
donald trump whatajoke gopdebate,Negative
  funnyordie this feels like fox news tried to be the cool parents that let their kids have a pa y amp now the house is on fire gopdeba,Negative
  patriotmom61 its unconscionable that foxnews moderators asked all the candidates except santorum foreign policyamp nat sec questions i,Negative
  crissghoul you are not pro life you are pro control you are pro religion you are pro you  this is never about the mother gopdeba,Negative
"  redstatejake solid debate tips  take a gander gop

httptco4pufj36dla

gopdebate teapa y 
tcot tlot icon httptcowpi",Negative
  johnkasich creating jobs is our greatest moral purpose because they strengthen our families amp communities gopdebate httptco80xe,Positive
  nevagphx1 carlyfiorina magnificent at the first gopdebate i suppo  ted cruz as potus but would suppo  you as running mate or pot,Positive
if youre a woman who suppo s r pa y please wake up and get informed gopdebate,Negative
kasich the clear standout among gopdebate cannon fodder but his record contradicts statements on lgbt acceptance httptcoynuckulnjv,Positive
